venue_id,name,sheet_row,lookup_status,material_changes,old_google_place_id,old_last_verified,old_google_rating,old_google_review_count,old_google_types,old_google_phone,old_enriched,old_business_status,new_google_place_id,new_last_verified,new_google_rating,new_google_review_count,new_google_types,new_google_phone,new_enriched,new_business_status
v0024,Superiority Burger,26,ok,google_review_count,ChIJ26fKep1ZwokRrPzNIqBj4xU,2026-04-20,4.3,1847,"vegetarian_restaurant,restaurant,food,point_of_interest,establishment",(212) 339-7425,yes,OPERATIONAL,ChIJ26fKep1ZwokRrPzNIqBj4xU,2026-05-22,4.3,1859,"vegetarian_restaurant,restaurant,food,point_of_interest,establishment",(212) 339-7425,yes,OPERATIONAL
v0025,The Ripple Room,27,ok,google_review_count,ChIJqz6xTwBZwokRNvAKvJE8RV4,2026-04-20,4.4,101,"bar,point_of_interest,establishment",,yes,OPERATIONAL,ChIJqz6xTwBZwokRNvAKvJE8RV4,2026-05-22,4.4,109,"bar,point_of_interest,establishment",,yes,OPERATIONAL
v0026,Anixi Mediterranean Vegan Restaurant,28,ok,google_review_count|google_types,ChIJaRynAtpZwokRfbYA0B4VJWs,2026-04-20,4.8,2120,"vegan_restaurant,cocktail_bar,vegetarian_restaurant,mediterranean_restaurant,bar,restaurant",(646) 410-0946,yes,OPERATIONAL,ChIJaRynAtpZwokRfbYA0B4VJWs,2026-05-22,4.8,2155,"vegan_restaurant,mediterranean_restaurant,cocktail_bar,vegetarian_restaurant,bar,restaurant,food,point_of_interest,establishment",(646) 410-0946,yes,OPERATIONAL
v0027,Café Lyria,29,ok,google_rating|google_review_count|google_types,ChIJcVcDbvVZwokRH9wq92JCQBo,2026-04-20,4.6,572,"cafe,coffee_shop,food_store,store,food,point_of_interest",,yes,OPERATIONAL,ChIJcVcDbvVZwokRH9wq92JCQBo,2026-05-22,4.5,584,"cafe,coffee_shop,food_store,store,food,point_of_interest,establishment",,yes,OPERATIONAL
v0028,Café Maud,30,ok,google_review_count|google_types,ChIJ09yg-llZwokRKAgp0jg6TCU,2026-04-20,4.5,530,"brunch_restaurant,cocktail_bar,bar,restaurant,food,point_of_interest",(212) 218-3919,yes,OPERATIONAL,ChIJ09yg-llZwokRKAgp0jg6TCU,2026-05-22,4.5,551,"brunch_restaurant,cocktail_bar,bar,restaurant,food,point_of_interest,establishment",(212) 218-3919,yes,OPERATIONAL
v0029,Conwell Coffee & Cocktail Hall,31,ok,google_review_count|google_types,ChIJgTMBOPtbwokR1Y0sSidhvqI,2026-04-20,4.4,807,"cafe,cocktail_bar,breakfast_restaurant,coffee_shop,bar,food_store",,yes,OPERATIONAL,ChIJgTMBOPtbwokR1Y0sSidhvqI,2026-05-22,4.4,835,"cafe,coffee_shop,breakfast_restaurant,cocktail_bar,bar,restaurant,food_store,store,food,point_of_interest,establishment",,yes,OPERATIONAL
v0030,Davelle,32,ok,google_review_count|google_types,ChIJk1s5AIFZwokRymNr0rhKWFE,2026-04-20,4.3,684,"japanese_restaurant,coffee_shop,cafe,food_store,store,restaurant",(646) 988-1973,yes,OPERATIONAL,ChIJk1s5AIFZwokRymNr0rhKWFE,2026-05-22,4.3,687,"japanese_restaurant,coffee_shop,cafe,food_store,restaurant,food,point_of_interest,store,establishment",(646) 988-1973,yes,OPERATIONAL
v0031,Dialogue Coffee & Flowers,33,ok,google_review_count|google_types,ChIJj1_yRahZwokRr6Ktp4IQ4Ew,2026-04-20,4.5,294,"coffee_shop,cafe,food_store,food,store,point_of_interest",,yes,OPERATIONAL,ChIJj1_yRahZwokRr6Ktp4IQ4Ew,2026-05-22,4.5,296,"coffee_shop,cafe,food_store,store,food,point_of_interest,establishment",,yes,OPERATIONAL
v0032,kalei nyc,34,ok,google_types,ChIJ94M6rC9ZwokRQ3mA_a5U2KU,2026-04-20,4.9,19,"furniture_store,art_gallery,home_improvement_store,cafe,home_goods_store,event_venue",(212) 634-9355,yes,OPERATIONAL,ChIJ94M6rC9ZwokRQ3mA_a5U2KU,2026-05-22,4.9,19,"furniture_store,art_gallery,home_improvement_store,cafe,home_goods_store,event_venue,store,food,point_of_interest,establishment",(212) 634-9355,yes,OPERATIONAL
v0033,Obvio Cocktail Bar Nomad,35,ok,google_rating|google_review_count|google_types,ChIJ9bckgAhZwokRukvfBql9KXk,2026-04-20,4.3,163,"bar,lounge_bar,cocktail_bar,night_club,restaurant,food",(347) 227-2707,yes,OPERATIONAL,ChIJ9bckgAhZwokRukvfBql9KXk,2026-05-22,4.2,180,"cocktail_bar,bar,restaurant,food,point_of_interest,establishment",(347) 227-2707,yes,OPERATIONAL
v0034,Planta Queen,36,ok,google_review_count|google_types,ChIJj_rijkZZwokRpTRkbMwBRXk,2026-04-20,4.5,3064,"vegan_restaurant,vegetarian_restaurant,asian_fusion_restaurant,fusion_restaurant,catering_service,asian_restaurant",(917) 675-7700,yes,OPERATIONAL,ChIJj_rijkZZwokRpTRkbMwBRXk,2026-05-22,4.5,3105,"vegan_restaurant,asian_fusion_restaurant,fusion_restaurant,vegetarian_restaurant,catering_service,family_restaurant,asian_restaurant,food_delivery,meal_takeaway,service,restaurant,point_of_interest,food,establishment",(917) 675-7700,yes,OPERATIONAL
v0035,Please Don't Tell,37,ok,google_review_count,ChIJb67-ZZ1ZwokRRxBYr3GlFp0,2026-04-20,4.3,2417,"cocktail_bar,bar,restaurant,food,point_of_interest,establishment",,yes,OPERATIONAL,ChIJb67-ZZ1ZwokRRxBYr3GlFp0,2026-05-22,4.3,2433,"cocktail_bar,bar,restaurant,point_of_interest,food,establishment",,yes,OPERATIONAL
v0036,St Jardim,38,ok,google_review_count|google_types,ChIJQT7u80BZwokR5MLuGvTsBiY,2026-04-20,4.5,351,"wine_bar,cocktail_bar,coffee_shop,bar,cafe,restaurant",(917) 938-5829,yes,OPERATIONAL,ChIJQT7u80BZwokR5MLuGvTsBiY,2026-05-22,4.5,353,"wine_bar,cocktail_bar,coffee_shop,cafe,bar,food_store,store,restaurant,point_of_interest,food,establishment",(917) 938-5829,yes,OPERATIONAL
v0037,The Little Shop,39,ok,google_review_count|google_types,ChIJpZd5uFtbwokROm9FtRhLhyQ,2026-04-20,4.6,273,"bar,general_store,coffee_shop,cafe,food_store,food",(646) 360-4650,yes,OPERATIONAL,ChIJpZd5uFtbwokROm9FtRhLhyQ,2026-05-22,4.6,278,"bar,general_store,coffee_shop,cafe,food_store,point_of_interest,food,store,establishment",(646) 360-4650,yes,OPERATIONAL
v0038,Bar Pisellino,40,ok,google_review_count|google_types,ChIJHUufNvVZwokRaO5ke5RQ46c,2026-04-20,4.1,923,"bar,wine_bar,cocktail_bar,breakfast_restaurant,restaurant,food",,yes,OPERATIONAL,ChIJHUufNvVZwokRaO5ke5RQ46c,2026-05-22,4.1,942,"bar,wine_bar,cocktail_bar,breakfast_restaurant,restaurant,food,point_of_interest,establishment",,yes,OPERATIONAL
v0039,Boris & Horton,41,ok,google_review_count|google_types,ChIJG6_BbHZZwokRS6lKU3rCUtk,2026-04-20,4.6,875,"cafe,dog_cafe,brunch_restaurant,restaurant,food,point_of_interest",(212) 510-8986,yes,OPERATIONAL,ChIJG6_BbHZZwokRS6lKU3rCUtk,2026-05-22,4.6,882,"cafe,dog_cafe,brunch_restaurant,restaurant,food,point_of_interest,establishment",(212) 510-8986,yes,OPERATIONAL
v0040,Bungee Space,42,ok,google_review_count|google_types,ChIJB9XoY3RZwokRycT87D2zX0g,2026-04-20,4.6,97,"book_store,coffee_shop,art_gallery,cafe,food_store,clothing_store",(415) 867-6352,yes,OPERATIONAL,ChIJB9XoY3RZwokRycT87D2zX0g,2026-05-22,4.6,101,"book_store,art_gallery,clothing_store,coffee_shop,cafe,food_store,store,food,point_of_interest,establishment",(415) 867-6352,yes,OPERATIONAL
v0041,Employees Only,43,ok,google_review_count|google_types,ChIJLztrVJNZwokRTmcQJheGNR4,2026-04-20,4.2,3130,"bar,cocktail_bar,lounge_bar,american_restaurant,night_club,restaurant",(212) 242-3021,yes,OPERATIONAL,ChIJLztrVJNZwokRTmcQJheGNR4,2026-05-22,4.2,3149,"bar,cocktail_bar,lounge_bar,american_restaurant,night_club,restaurant,food,point_of_interest,establishment",(212) 242-3021,yes,OPERATIONAL
v0042,Good Thanks Cafe,44,ok,google_review_count|google_types,ChIJlZ1jG6NZwokRQIXt47NzppA,2026-04-20,4.6,818,"brunch_restaurant,breakfast_restaurant,australian_restaurant,coffee_shop,cafe,wine_bar",(646) 370-4426,yes,OPERATIONAL,ChIJlZ1jG6NZwokRQIXt47NzppA,2026-05-22,4.6,836,"brunch_restaurant,cocktail_bar,breakfast_restaurant,australian_restaurant,cafe,bar,restaurant,point_of_interest,food,establishment",(646) 370-4426,yes,OPERATIONAL
v0043,Hangawi,45,ok,google_review_count|google_types,ChIJtSk6aqhZwokRAA7X1yq7onk,2026-04-20,4.6,2061,"vegan_restaurant,vegetarian_restaurant,korean_restaurant,restaurant,food,point_of_interest",(212) 213-0077,yes,OPERATIONAL,ChIJtSk6aqhZwokRAA7X1yq7onk,2026-05-22,4.6,2074,"vegan_restaurant,vegetarian_restaurant,korean_restaurant,restaurant,food,point_of_interest,establishment",(212) 213-0077,yes,OPERATIONAL
v0044,Jajaja Mexicana,46,ok,google_review_count|google_types,ChIJh-s4YNNZwokRKuwXrP5FHqY,2026-04-20,4.6,1758,"vegan_restaurant,vegetarian_restaurant,mexican_restaurant,cocktail_bar,bar,restaurant",(917) 262-0184,yes,OPERATIONAL,ChIJh-s4YNNZwokRKuwXrP5FHqY,2026-05-22,4.6,1777,"vegan_restaurant,vegetarian_restaurant,cocktail_bar,bar,mexican_restaurant,restaurant,food,point_of_interest,establishment",(917) 262-0184,yes,OPERATIONAL
v0045,Jerrell's BETR BRGR,47,ok,google_review_count,ChIJF6B55SxZwokRNvst8akDMi0,2026-04-20,4.7,838,"vegan_restaurant,vegetarian_restaurant,restaurant,food,point_of_interest,establishment",(914) 893-5528,yes,OPERATIONAL,ChIJF6B55SxZwokRNvst8akDMi0,2026-05-22,4.7,846,"vegan_restaurant,vegetarian_restaurant,restaurant,food,point_of_interest,establishment",(914) 893-5528,yes,OPERATIONAL
v0046,L'Artusi,48,ok,google_review_count,ChIJxwoiopRZwokRttz8Wb0-BLU,2026-04-20,4.6,2551,"italian_restaurant,bar,restaurant,food,point_of_interest,establishment",(212) 255-5757,yes,OPERATIONAL,ChIJxwoiopRZwokRttz8Wb0-BLU,2026-05-22,4.6,2582,"italian_restaurant,bar,restaurant,food,point_of_interest,establishment",(212) 255-5757,yes,OPERATIONAL
v0047,Ladybird,49,ok,google_review_count|google_types,ChIJdWfZe5FZwokR8k6hhjU5uQo,2026-04-20,4.6,947,"restaurant,tapas_restaurant,cocktail_bar,wine_bar,vegan_restaurant,vegetarian_restaurant",(833) 328-4588,yes,OPERATIONAL,ChIJdWfZe5FZwokR8k6hhjU5uQo,2026-05-22,4.6,965,"restaurant,wine_bar,vegan_restaurant,tapas_restaurant,brunch_restaurant,cocktail_bar,liquor_store,vegetarian_restaurant,asian_fusion_restaurant,fusion_restaurant,asian_restaurant,bar,store,food,point_of_interest,establishment",(833) 328-4588,yes,OPERATIONAL
v0048,Modern Bread and Bagel,50,ok,google_review_count,ChIJ38ApNi1ZwokRtQP2nJLHp-c,2026-04-20,4.4,764,"bakery,food_store,store,point_of_interest,food,establishment",(646) 437-7157,yes,OPERATIONAL,ChIJ38ApNi1ZwokRtQP2nJLHp-c,2026-05-22,4.4,802,"bakery,food_store,store,food,point_of_interest,establishment",(646) 437-7157,yes,OPERATIONAL
v0049,PARK at KIMS,51,ok,google_review_count|google_types,ChIJk6s3kmNZwokRDaC2yy4A790,2026-04-20,4.9,165,"coffee_shop,cafe,food_store,store,food,point_of_interest",,yes,OPERATIONAL,ChIJk6s3kmNZwokRDaC2yy4A790,2026-05-22,4.9,176,"coffee_shop,cafe,food_store,point_of_interest,food,store,establishment",,yes,OPERATIONAL
v0050,San Marzano,52,ok,google_review_count,ChIJP8Rym5xZwokRUIkeVZ-8Q-s,2026-04-20,4.3,2074,"italian_restaurant,restaurant,food,point_of_interest,establishment",(212) 777-3600,yes,OPERATIONAL,ChIJP8Rym5xZwokRUIkeVZ-8Q-s,2026-05-22,4.3,2087,"italian_restaurant,restaurant,food,point_of_interest,establishment",(212) 777-3600,yes,OPERATIONAL
v0051,Sip&Guzzle,53,ok,google_review_count,ChIJ49KsB19ZwokR8VwrMbECQr8,2026-04-20,4.2,684,"cocktail_bar,bar,restaurant,food,point_of_interest,establishment",(917) 259-6974,yes,OPERATIONAL,ChIJ49KsB19ZwokR8VwrMbECQr8,2026-05-22,4.2,722,"cocktail_bar,bar,restaurant,food,point_of_interest,establishment",(917) 259-6974,yes,OPERATIONAL
v0052,Stone Street Café,54,ok,google_review_count|google_types,ChIJTXOfvSlZwokRN_ZPNFLRDdY,2026-04-20,4.6,592,"coffee_shop,pastry_shop,dessert_shop,brunch_restaurant,bakery,cafe",(917) 847-0663,yes,OPERATIONAL,ChIJTXOfvSlZwokRN_ZPNFLRDdY,2026-05-22,4.6,607,"coffee_shop,brunch_restaurant,pastry_shop,cafe,dessert_shop,bakery,confectionery,food_store,store,restaurant,food,point_of_interest,establishment",(917) 847-0663,yes,OPERATIONAL
v0053,Win Son Bakery,55,ok,google_review_count|google_types,ChIJU1l5-65ZwokRz4BLoRd9WDs,2026-04-20,4.2,351,"taiwanese_restaurant,bakery,food_store,restaurant,food,point_of_interest",(646) 869-0150,yes,OPERATIONAL,ChIJU1l5-65ZwokRz4BLoRd9WDs,2026-05-22,4.2,369,"taiwanese_restaurant,bakery,restaurant,food_store,store,food,point_of_interest,establishment",(646) 869-0150,yes,OPERATIONAL
v0054,230 Fifth Rooftop Bar,56,ok,google_review_count,ChIJ_1oyZaZZwokR1c-HIVJ3xzo,2026-04-20,4.3,24912,"bar,lounge_bar,night_club,point_of_interest,establishment",(212) 725-4300,yes,OPERATIONAL,ChIJ_1oyZaZZwokR1c-HIVJ3xzo,2026-05-22,4.3,25137,"bar,lounge_bar,night_club,point_of_interest,establishment",(212) 725-4300,yes,OPERATIONAL
v0055,ANDO patisserie,57,ok,google_review_count|google_types,ChIJIUflsoxZwokRjZOVMKRhjWc,2026-04-20,4.3,513,"dessert_shop,pastry_shop,coffee_shop,cafe,confectionery,bakery",(917) 262-0311,yes,OPERATIONAL,ChIJIUflsoxZwokRjZOVMKRhjWc,2026-05-22,4.3,564,"dessert_shop,pastry_shop,bakery,coffee_shop,confectionery,cafe,food_store,store,restaurant,point_of_interest,food,establishment",(917) 262-0311,yes,OPERATIONAL
v0056,Bar Valentina,58,ok,google_rating|google_review_count,ChIJX0vosYxZwokRtY2bPmyVmRQ,2026-04-20,4.3,133,"bar,point_of_interest,establishment",(646) 476-4523,yes,OPERATIONAL,ChIJX0vosYxZwokRtY2bPmyVmRQ,2026-05-22,4.2,144,"bar,point_of_interest,establishment",(646) 476-4523,yes,OPERATIONAL
v0057,Bubby's,59,ok,google_review_count|google_types,ChIJETquaPVZwokRVYYGSKrg4E0,2026-04-20,4.4,8495,"american_restaurant,brunch_restaurant,western_restaurant,breakfast_restaurant,bakery,bar",(212) 219-0666,yes,OPERATIONAL,ChIJETquaPVZwokRVYYGSKrg4E0,2026-05-22,4.4,8599,"american_restaurant,western_restaurant,brunch_restaurant,breakfast_restaurant,bakery,bar,food_store,restaurant,food,point_of_interest,store,establishment",(212) 219-0666,yes,OPERATIONAL
v0058,By the Way Bakery,60,ok,google_review_count,ChIJSeVlVYJYwokRjpt2QnPaflM,2026-04-20,4.6,347,"bakery,food_store,food,store,point_of_interest,establishment",(212) 877-0806,yes,OPERATIONAL,ChIJSeVlVYJYwokRjpt2QnPaflM,2026-05-22,4.6,350,"bakery,food_store,food,point_of_interest,store,establishment",(212) 877-0806,yes,OPERATIONAL
v0059,Café-Flor / Bar 21,61,ok,google_review_count|google_types,ChIJ_abIqHtZwokRLWbw0G-lzu8,2026-04-20,4.2,496,"florist,coffee_shop,cafe,bar,food_store,food",(347) 990-2100,yes,OPERATIONAL,ChIJ_abIqHtZwokRLWbw0G-lzu8,2026-05-22,4.2,503,"florist,coffee_shop,cafe,bar,food_store,store,food,point_of_interest,establishment",(347) 990-2100,yes,OPERATIONAL
v0061,Coletta Italian Vegan Restaurant,62,ok,google_review_count|google_types,ChIJhcaYBC5ZwokRnPUwEfUc8lU,2026-04-20,4.7,1097,"vegan_restaurant,pizza_restaurant,wine_bar,vegetarian_restaurant,italian_restaurant,cocktail_bar",(646) 861-2889,yes,OPERATIONAL,ChIJhcaYBC5ZwokRnPUwEfUc8lU,2026-05-22,4.7,1122,"vegan_restaurant,wine_bar,cocktail_bar,vegetarian_restaurant,pizza_restaurant,italian_restaurant,bar,restaurant,food,point_of_interest,establishment",(646) 861-2889,yes,OPERATIONAL
v0062,Dirt Candy,63,ok,google_rating|google_review_count,ChIJBXlte51ZwokRXzXtdaBG9xM,2026-04-20,4.6,1527,"vegetarian_restaurant,vegan_restaurant,restaurant,food,point_of_interest,establishment",(212) 228-7732,yes,OPERATIONAL,ChIJBXlte51ZwokRXzXtdaBG9xM,2026-05-22,4.5,1537,"vegetarian_restaurant,vegan_restaurant,restaurant,point_of_interest,food,establishment",(212) 228-7732,yes,OPERATIONAL
